id,day,shift,worker_id,preference,requirements,assigned,singleWorkerFitness,finalWorkerPenalty,sumFitnness
466,15,1,5,0,6,0,570,800,5140
467,15,1,6,1,6,1,570,800,5140
468,15,1,7,0,6,0,650,800,5140
469,15,1,8,1,6,1,500,800,5140
470,15,1,9,1,6,1,490,800,5140
471,15,1,10,1,6,1,500,800,5140
472,15,1,11,1,6,0,480,800,5140
473,15,2,1,0,5,0,500,800,5140
474,15,2,2,0,5,0,540,800,5140
475,15,2,3,0,5,1,540,800,5140
476,15,2,4,0,5,0,600,800,5140
477,15,2,5,0,5,0,570,800,5140
478,15,2,6,1,5,0,570,800,5140
479,15,2,7,1,5,1,650,800,5140
480,15,2,8,0,5,0,500,800,5140
481,15,2,9,0,5,1,490,800,5140
482,15,2,10,1,5,1,500,800,5140
483,15,2,11,0,5,1,480,800,5140
484,15,3,1,0,9,0,500,800,5140
485,15,3,2,0,9,0,540,800,5140
486,15,3,3,1,9,1,540,800,5140
487,15,3,4,0,9,1,600,800,5140
488,15,3,5,0,9,1,570,800,5140
489,15,3,6,0,9,1,570,800,5140
490,15,3,7,0,9,1,650,800,5140
491,15,3,8,1,9,1,500,800,5140
492,15,3,9,1,9,1,490,800,5140
493,15,3,10,1,9,1,500,800,5140
494,15,3,11,1,9,1,480,800,5140
495,16,1,1,0,8,0,500,800,5140
496,16,1,2,1,8,0,540,800,5140
497,16,1,3,1,8,1,540,800,5140
498,16,1,4,1,8,1,600,800,5140
499,16,1,5,1,8,1,570,800,5140
500,16,1,6,1,8,1,570,800,5140
501,16,1,7,1,8,1,650,800,5140
502,16,1,8,0,8,1,500,800,5140
503,16,1,9,0,8,1,490,800,5140
504,16,1,10,1,8,0,500,800,5140
505,16,1,11,0,8,1,480,800,5140
506,16,2,1,0,7,1,500,800,5140
507,16,2,2,0,7,1,540,800,5140
508,16,2,3,0,7,1,540,800,5140
509,16,2,4,0,7,0,600,800,5140
510,16,2,5,1,7,0,570,800,5140
511,16,2,6,0,7,0,570,800,5140
512,16,2,7,0,7,0,650,800,5140
513,16,2,8,1,7,1,500,800,5140
514,16,2,9,0,7,1,490,800,5140
515,16,2,10,0,7,1,500,800,5140
516,16,2,11,1,7,1,480,800,5140
517,16,3,1,0,5,1,500,800,5140
518,16,3,2,0,5,1,540,800,5140
519,16,3,3,0,5,0,540,800,5140
520,16,3,4,0,5,0,600,800,5140
521,16,3,5,0,5,0,570,800,5140
522,16,3,6,0,5,0,570,800,5140
523,16,3,7,1,5,1,650,800,5140
524,16,3,8,0,5,1,500,800,5140
525,16,3,9,0,5,0,490,800,5140
526,16,3,10,0,5,0,500,800,5140
527,16,3,11,1,5,1,480,800,5140
528,17,1,1,1,7,0,500,800,5140
529,17,1,2,0,7,1,540,800,5140
530,17,1,3,0,7,0,540,800,5140
531,17,1,4,0,7,1,600,800,5140
532,17,1,5,0,7,1,570,800,5140
533,17,1,6,0,7,1,570,800,5140
534,17,1,7,0,7,0,650,800,5140
535,17,1,8,0,7,1,500,800,5140
536,17,1,9,1,7,0,490,800,5140
537,17,1,10,0,7,1,500,800,5140
538,17,1,11,1,7,1,480,800,5140
539,17,2,1,1,9,1,500,800,5140
540,17,2,2,1,9,1,540,800,5140
541,17,2,3,1,9,1,540,800,5140
542,17,2,4,1,9,1,600,800,5140
543,17,2,5,0,9,0,570,800,5140
544,17,2,6,1,9,0,570,800,5140
545,17,2,7,1,9,1,650,800,5140
546,17,2,8,0,9,1,500,800,5140
547,17,2,9,0,9,1,490,800,5140
548,17,2,10,1,9,1,500,800,5140
549,17,2,11,1,9,1,480,800,5140
550,17,3,1,1,8,1,500,800,5140
551,17,3,2,1,8,0,540,800,5140
552,17,3,3,0,8,1,540,800,5140
553,17,3,4,1,8,1,600,800,5140
554,17,3,5,0,8,0,570,800,5140
555,17,3,6,1,8,1,570,800,5140
556,17,3,7,1,8,1,650,800,5140
557,17,3,8,0,8,1,500,800,5140
558,17,3,9,0,8,0,490,800,5140
559,17,3,10,0,8,1,500,800,5140
560,17,3,11,0,8,1,480,800,5140
561,18,1,1,0,8,1,500,800,5140
562,18,1,2,1,8,1,540,800,5140
563,18,1,3,0,8,1,540,800,5140
564,18,1,4,0,8,1,600,800,5140
565,18,1,5,1,8,1,570,800,5140
566,18,1,6,1,8,1,570,800,5140
567,18,1,7,0,8,0,650,800,5140
568,18,1,8,0,8,1,500,800,5140
569,18,1,9,0,8,0,490,800,5140
570,18,1,10,0,8,0,500,800,5140
571,18,1,11,1,8,1,480,800,5140
572,18,2,1,1,8,1,500,800,5140
573,18,2,2,0,8,0,540,800,5140
574,18,2,3,0,8,0,540,800,5140
575,18,2,4,1,8,1,600,800,5140
576,18,2,5,0,8,1,570,800,5140
577,18,2,6,1,8,1,570,800,5140
578,18,2,7,0,8,0,650,800,5140
579,18,2,8,0,8,1,500,800,5140
580,18,2,9,0,8,1,490,800,5140
581,18,2,10,1,8,1,500,800,5140
582,18,2,11,0,8,1,480,800,5140
583,18,3,1,0,6,0,500,800,5140
584,18,3,2,0,6,0,540,800,5140
585,18,3,3,1,6,1,540,800,5140
586,18,3,4,1,6,1,600,800,5140
587,18,3,5,0,6,0,570,800,5140
588,18,3,6,1,6,1,570,800,5140
589,18,3,7,0,6,0,650,800,5140
590,18,3,8,1,6,1,500,800,5140
591,18,3,9,1,6,1,490,800,5140
592,18,3,10,1,6,0,500,800,5140
593,18,3,11,0,6,1,480,800,5140
594,19,1,1,0,7,1,500,800,5140
595,19,1,2,1,7,1,540,800,5140
596,19,1,3,1,7,0,540,800,5140
597,19,1,4,1,7,1,600,800,5140
598,19,1,5,1,7,1,570,800,5140
599,19,1,6,1,7,1,570,800,5140
600,19,1,7,0,7,0,650,800,5140
601,19,1,8,1,7,0,500,800,5140
602,19,1,9,1,7,1,490,800,5140
603,19,1,10,1,7,1,500,800,5140
604,19,1,11,1,7,1,480,800,5140
605,19,2,1,0,8,1,500,800,5140
606,19,2,2,1,8,1,540,800,5140
607,19,2,3,1,8,1,540,800,5140
608,19,2,4,1,8,1,600,800,5140
609,19,2,5,1,8,1,570,800,5140
610,19,2,6,0,8,1,570,800,5140
611,19,2,7,1,8,0,650,800,5140
612,19,2,8,1,8,1,500,800,5140
613,19,2,9,1,8,0,490,800,5140
614,19,2,10,1,8,1,500,800,5140
615,19,2,11,1,8,0,480,800,5140
616,19,3,1,0,6,0,500,800,5140
617,19,3,2,0,6,0,540,800,5140
618,19,3,3,0,6,0,540,800,5140
619,19,3,4,0,6,1,600,800,5140
620,19,3,5,0,6,1,570,800,5140
621,19,3,6,0,6,1,570,800,5140
622,19,3,7,0,6,0,650,800,5140
623,19,3,8,1,6,1,500,800,5140
624,19,3,9,0,6,1,490,800,5140
625,19,3,10,0,6,1,500,800,5140
626,19,3,11,1,6,0,480,800,5140
627,20,1,1,1,7,1,500,800,5140
628,20,1,2,0,7,1,540,800,5140
629,20,1,3,0,7,0,540,800,5140
630,20,1,4,0,7,0,600,800,5140
631,20,1,5,1,7,1,570,800,5140
632,20,1,6,0,7,1,570,800,5140
633,20,1,7,1,7,0,650,800,5140
634,20,1,8,1,7,0,500,800,5140
635,20,1,9,1,7,1,490,800,5140
636,20,1,10,1,7,0,500,800,5140
637,20,1,11,1,7,1,480,800,5140
638,20,2,1,1,8,0,500,800,5140
639,20,2,2,1,8,1,540,800,5140
640,20,2,3,1,8,0,540,800,5140
641,20,2,4,1,8,1,600,800,5140
642,20,2,5,0,8,1,570,800,5140
643,20,2,6,1,8,1,570,800,5140
644,20,2,7,0,8,1,650,800,5140
645,20,2,8,0,8,1,500,800,5140
646,20,2,9,0,8,1,490,800,5140
647,20,2,10,0,8,0,500,800,5140
648,20,2,11,1,8,1,480,800,5140
649,20,3,1,0,5,1,500,800,5140
650,20,3,2,0,5,1,540,800,5140
651,20,3,3,0,5,0,540,800,5140
652,20,3,4,0,5,0,600,800,5140
653,20,3,5,0,5,0,570,800,5140
654,20,3,6,1,5,0,570,800,5140
655,20,3,7,1,5,1,650,800,5140
656,20,3,8,0,5,0,500,800,5140
657,20,3,9,0,5,1,490,800,5140
658,20,3,10,1,5,0,500,800,5140
659,20,3,11,0,5,1,480,800,5140
660,21,1,1,0,5,0,500,800,5140
661,21,1,2,0,5,0,540,800,5140
662,21,1,3,0,5,0,540,800,5140
663,21,1,4,0,5,0,600,800,5140
664,21,1,5,0,5,1,570,800,5140
665,21,1,6,1,5,0,570,800,5140
666,21,1,7,0,5,1,650,800,5140
667,21,1,8,1,5,1,500,800,5140
668,21,1,9,1,5,1,490,800,5140
669,21,1,10,0,5,0,500,800,5140
670,21,1,11,1,5,1,480,800,5140
671,21,2,1,1,5,1,500,800,5140
672,21,2,2,1,5,1,540,800,5140
673,21,2,3,0,5,0,540,800,5140
674,21,2,4,0,5,0,600,800,5140
675,21,2,5,1,5,1,570,800,5140
676,21,2,6,0,5,0,570,800,5140
677,21,2,7,1,5,1,650,800,5140
678,21,2,8,1,5,0,500,800,5140
679,21,2,9,0,5,0,490,800,5140
680,21,2,10,1,5,1,500,800,5140
681,21,2,11,0,5,0,480,800,5140
682,21,3,1,1,6,1,500,800,5140
683,21,3,2,0,6,1,540,800,5140
684,21,3,3,0,6,0,540,800,5140
